2025-10-28 06:29:08.730 WARNING (Recorder) [homeassistant.components.recorder.util] The system could not validate that the sqlite3 database at //config/home-assistant_v2.db was shutdown cleanly
2025-10-28 11:41:38.183 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:02.776 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:02.778 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:02.780 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:02.781 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:58.497 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:58.499 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:58.501 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:42:58.502 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:43:23.074 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:43:23.076 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:43:23.078 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
